"","SN20A","SN20B","SN20C","SN20D","SN21A","SN21B","SN21C","SN21D","SN22A","SN22B","SN22C","SN22D","SN23A","SN23B","SN23C","SN23D","SN24A","SN24B","SN24C","SN24D","SN25A","SN25B","SN25C","SN25D"
"CD8+ naive T-cells",1.51794109027423e-21,0.000171475989423777,0.00146744440509601,0.000294483640874044,0,8.38561843534683e-24,0.00351209798045819,0,1.1041701629838e-19,8.51971200390058e-05,3.24265362423904e-21,0.00115912450578606,0,0,0,0,1.50883517490014e-19,1.56774635676413e-19,5.56926559511244e-20,3.44785911989881e-19,0,0,0.00102046527794522,0.000610183658580062
"CD8+ T-cells",7.53301767674776e-19,7.66879024690429e-20,9.1330170082611e-19,7.85976049878757e-19,0,5.19955866526653e-19,0,0,2.98743548260073e-19,8.7525983866533e-20,0.000607084414770161,4.92383176390026e-22,3.15075361255283e-19,0,6.54242119508019e-20,4.08264152126851e-21,3.22192500681546e-20,0.00220529404136242,0.000121743535712731,2.47572995216289e-20,0,3.81948792321043e-19,7.48239909271016e-21,1.86239061346704e-21
"CD8+ Tcm",0,3.78095567852621e-19,1.40066203631172e-19,0,0,0,0,9.53122986869014e-19,0.00102716109049713,0.00149361807044398,0,0.000989707906775428,1.3067770068124e-19,0.00159551235588481,5.60867769076839e-21,0.000975686666347972,7.75003097998896e-20,0,0,1.79067661276847e-19,3.05617540585429e-19,0,5.98662200363204e-19,0
"CD8+ Tem",2.22002374976416e-19,0,1.37357532168782e-18,0,5.45401791388073e-22,5.6214751122925e-18,0,2.27590604439044e-17,0,0.000480932456415285,0,1.76621223856451e-06,0,0,0,0,1.11427155762901e-19,6.72437582772503e-19,1.61852592807127e-19,0,5.39992688658693e-19,2.04422528666043e-18,2.16707511143051e-18,0
"cDC",1.0408438876835e-18,0,2.92267359861263e-19,0.00152092833157225,0.00846790861579792,5.12038625738449e-20,1.76409627881846e-19,0.00293501881627532,0.013712933542985,0.0149265152971771,0.0137546004553013,0.0241458367389334,0.00546122959111034,0.014200258217288,0.00934054776459443,0.0247679163891776,0.00608630062007302,0.00606531572457649,0.00467577276074293,0.0119360930786599,0.00193814229291364,0.0021096902215068,0.00237542670556068,0.00869457104947664
"Chondrocytes",0,0,0,0,0.00033358275549653,0,0,2.90947040952109e-18,0,6.9713135563781e-19,6.78529009661897e-18,7.5833052424232e-19,0,0,6.08854720634132e-19,0.00505308127355607,8.78285989053227e-21,0,0.000256198047436075,0.00290575627609224,8.49877353733489e-19,4.40095132475031e-21,8.11113433641836e-19,0
"Class-switched memory B-cells",2.77874669331257e-19,0,0,6.05872939254556e-19,0.00356131221053167,9.65125473534504e-06,4.59861989923387e-19,0,0.00535440735503193,0.00914760297880501,0.00411500753650995,0.00385793413820041,0.00598788644252633,0.00153292390692703,0.00362689799050894,9.80352042543449e-05,0.00157748416919561,0.00234116851799161,5.44924442992343e-05,0.0018481388571897,0.000936726874947042,0.000403259865133888,0.000286638406365877,0.00132787207941437
"CLP",0.00497344729940692,0.00403279322004577,0.00358531124026089,0.00257237443611693,0.000938786313842468,0,0.000593096636580064,0,0.000704853786372445,0.00215392947989723,0.00150233868506689,0.00141343841981002,0,0.00245849801208887,0.00016257749138262,0.00317360554269075,9.75939854416519e-20,6.06645488365227e-05,3.38251162388867e-20,6.32688543694619e-20,0,0,0,3.53313197481637e-19
"CMP",9.95254917217958e-19,0,2.5526029731275e-19,1.52335443605274e-19,1.79279345926445e-05,6.45964676945131e-05,1.99099438305875e-18,0.000401325199773096,0.000373535314506848,0.000922071955739547,0.00033416315828999,3.3881317890172e-21,0,5.7064835966517e-21,0,0,0,0.000611729488807864,0,0,0,0,2.95965801432006e-19,3.2765370646881e-19
"DC",3.18061448763422e-19,0,1.44924446749008e-19,0.00772356148424004,2.25262245875283e-21,0,0,0.00411675428193115,0,0.000119980779809859,0,0.0112041329881218,0,0.000594103293762909,0,0.0117697483834707,0,3.94028024380942e-20,0,0.0095328700452426,0,0,1.03076270896208e-20,0.0103372120199369
"Endothelial cells",0.00136740970149079,6.39065400636931e-05,0,0.000476637944431781,0.00116042202629958,1.45865963215125e-19,7.7863887908566e-20,1.84970551352463e-21,6.42444329934707e-20,0,0,0.000497506290265015,1.01937502222236e-18,0.000476402482694513,0,0.0032773107996812,0.00119173662254386,7.59342384970191e-20,0.00101891661035541,0.0018918269178733,0.000322102426042896,2.71214897389324e-19,0,0
"Eosinophils",0,0,0,1.5366353106544e-19,9.94294750793044e-20,3.12025507610573e-19,3.38206445345698e-18,0.003490301598536,7.50245741043206e-20,0,0,0.00442228310829339,0,1.32335814040844e-05,5.03638700321215e-19,0.0038079318260941,9.7516085995696e-20,0,1.27871331386031e-19,0.00428052526944319,6.16469899063573e-19,0,2.04428341561381e-20,2.41397342971057e-05
"Epithelial cells",0.0169534440891898,0.0160246637001145,0.00775743452755046,0.00179309091283113,0.000815997272531566,0,2.26600074640369e-19,8.93882715056576e-20,0.00172757429509264,0.00129655633287369,0.000954362629554109,0.000678646684659195,3.64602616543266e-20,0.00107166952628562,0.00101278138515155,0.00106684467337608,0.00158867628917559,0.00284426165468488,0.00326864915717701,0.000255831599861296,0.00148314359378718,0.00155248116529844,0.000966638471847057,0
"Erythrocytes",0,0,1.75915819072104e-20,2.5056997687984e-20,1.60759366636651e-21,0,0,4.23598062440874e-21,0,1.76243347995202e-20,0,0,0,0,0,4.65151011430302e-20,0,2.2225493783976e-20,1.29967658736629e-19,0,0,0,3.23316099525257e-19,0
"Fibroblasts",0,0,0,2.29049023145522e-18,3.51146365980225e-20,0,0,0,4.17658983055327e-18,6.7739338052667e-19,2.83685738423002e-18,2.16439318883716e-18,0,0,0.00048044894372549,1.12870414052012e-18,0.02518018627194,0.00182797006549244,0.0294203755511667,0.0291098809167946,0.00727476334949868,0,1.26300472496099e-19,0.0096341392988208
"GMP",0,0,4.78054614525088e-19,1.80014515232302e-18,0,8.01687301387355e-19,0,7.56087781076397e-19,8.6629270859623e-20,0,0,3.87446592023668e-19,0,6.39300028664832e-20,4.7084771499122e-19,0,8.79728214961565e-19,0,2.82046579644048e-19,0,0,0,2.48464461140179e-18,0
"Hepatocytes",0,3.75345489702645e-19,0,3.28366940771808e-18,1.19900217793676e-19,0.000185593983521576,0.000264734165830871,0,7.19273240210407e-20,2.97679507992576e-19,5.25846132491152e-20,5.02068438266034e-19,0.000326298603309663,5.47472173088571e-19,0,6.65489771276679e-20,9.34824229151036e-21,0,0,2.29970861163524e-19,0,0,9.05165764912339e-20,4.0070759638542e-20
"HSC",0.00870754323422953,0.0130141568784227,0.0140069860952972,0.0151877625738432,0.00421844889750546,0.001344955507947,0,2.42906525426655e-19,0.000272668235835119,0,0,0,0.000195205675886779,0.00222693941560433,0.00208277911103861,0.00923581637035281,0.002718596985793,3.24827040519415e-19,0.00551360875300739,0.000451704144373302,0.00572314196344536,0.00965703861367115,0.0102452507371335,0.00581128501110413
"iDC",0.000514388921102577,0.00332797518543963,0,0.183067009947744,0,0,4.25665239567031e-21,0.124437852208387,2.17522988821336e-22,4.36778355226853e-19,0,0.19657139948956,0,0.00102732232953622,1.30572618005307e-19,0.193174395978578,0,0,4.15094239909839e-20,0.179493469292239,0.000315156599938189,0.00149013439581395,0.00279392115672242,0.219307885744363
"Keratinocytes",0.00102917569505629,0.00124732969359888,0.000610276004783924,6.05189089837212e-05,4.54460777059256e-20,2.06666303890288e-19,0,0,2.22517648475317e-05,1.44617857013039e-05,0,5.01787964158652e-05,0,0,2.75457465225513e-20,5.19358694484673e-05,1.1584856643099e-19,2.47614516376266e-20,0,0,0,6.55879702967023e-20,0,0
