"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NewGene_9522",393.315936787519,-1.99661222687941,0.36211785665195,-5.51370828641144,3.5135077961022e-08,2.42098770945581e-05
"ODAM",45.8101877429671,2.45745433327936,0.447636398060464,5.48984475777018,4.02287166091807e-08,2.61460703948959e-05
"PIP5K1B",968.137962016486,-0.997654139698632,0.182103759904481,-5.47849281213046,4.28964010414404e-08,2.70086465057169e-05
"COBLL1",1073.50637545776,-1.08986862135014,0.199478361436465,-5.46359321132319,4.66592087608639e-08,2.84875678216329e-05
"DTWD2",1030.50177293325,-0.85012627898057,0.157852958606573,-5.38555809460243,7.2220202910417e-08,4.27968425952671e-05
"OXTR",1036.36537089501,-1.07147942233376,0.200318072289766,-5.34889044251502,8.84950889711966e-08,5.09428300740477e-05
"ADAMTS14",359.520912543141,1.29746855023599,0.243414707722448,5.3302800080405,9.80614550480822e-08,5.48817276752433e-05
"KLHDC7A",220.513828844345,-1.22849207982887,0.232308899631196,-5.28818345650628,1.23537045675409e-07,6.72709296288688e-05
"ACTN3",69.6046866484054,-1.77077066944702,0.336244763527577,-5.26631448730886,1.39189762659116e-07,7.379987731726e-05
"CLU",22786.4300402172,-0.535526073245481,0.101938322753645,-5.25343225961931,1.49290599698793e-07,7.71258205828532e-05
"FRZB",2775.64170890173,-0.977341778692339,0.188990067816931,-5.17139228522347,2.32356197383576e-07,0.00011146458725915
"KL",191.854395823856,-1.73648564009333,0.335560671211238,-5.17487831284077,2.28059568615072e-07,0.00011146458725915
"MRPS6",2673.54411094723,-0.565470861859408,0.10917934098929,-5.17928443912185,2.22738627445242e-07,0.00011146458725915
"MMP7",33.5402882748111,2.49560492811954,0.483684087461959,5.15957624575734,2.47509411185869e-07,0.000115972549222625
"PLBD1",595.448212852613,-1.18728788916938,0.23068100721413,-5.14688184999676,2.64852023271821e-07,0.000121278149201833
"NewGene_1710",86.3839044771777,-2.04085434825457,0.397435675411905,-5.13505574490617,2.8206040685641e-07,0.000126287846163177
"ATP6V1C2",323.853315046131,1.06036822110752,0.208127070784107,5.09481163172403,3.49088172654423e-07,0.000152900619622637
"LOX",3943.70430569238,0.661036868678354,0.12986883823884,5.09003451207171,3.57998351583246e-07,0.000153467038036154
"CRLF1",690.473984248306,1.43822905786506,0.282982372892135,5.08239804185004,3.72699374956425e-07,0.00015644056263796
"VCAN",10070.9307952826,0.778505301347065,0.153877593713177,5.05925055468551,4.20907499030595e-07,0.000173070291642213
